Year,Excess YPLL Rate,Excess YPLL Number,shortname
2020,1.9643424007776744,3102.3521126002397,Congentinal
2021,1.1466665546889343,1839.107492668609,Congentinal
2022,3.145980273480177,5068.704601390871,Congentinal
2000,1507.290735898127,2032996.7858105495,External causes
2001,1545.185005052057,2110424.109898884,External causes
2002,1574.5743953461283,2171663.634438549,External causes
2003,1574.9750369816054,2190120.266310931,External causes
2004,1565.084573586336,2197326.639649761,External causes
2005,1632.4075200922448,2313211.613838046,External causes
2006,1669.3322188349048,2388197.6870578225,External causes
2007,1666.4047326936754,2405468.596209277,External causes
2008,1632.2797782165528,2378513.874357969,External causes
2009,1527.4690281997096,2245802.4123527915,External causes
2010,1518.9013351209885,2247630.263795939,External causes
2011,1547.730961029448,2311583.922320319,External causes
2012,1544.482971023695,2324621.336187068,External causes
2013,1525.9418980520525,2313222.5206400133,External causes
2014,1560.604017894853,2384755.2699015224,External causes
2015,1686.325307867117,2597275.9626377686,External causes
2016,1870.0610398745168,2895295.861532383,External causes
2017,1947.0654953783448,3039628.197996482,External causes
2018,1904.6620103131736,2987166.7786788326,External causes
2019,1967.6291343336115,3095980.208670697,External causes
2020,2284.8019480290504,3608464.6686518895,External causes
2021,2347.4936561166505,3765081.622291971,External causes
2022,2374.7918265316707,3826189.998696557,External causes
